Symbol,Name,Exchange,Sector,Price,PricetoEarnings,DividendYield,EarningsperShare,FiftytwoWeekHigh,FiftytwoWeekLow,MarketCap_000s,EBITDA,PricetoSales,PricetoBook
NLSN,Nielsen Holdings,NYSE,Industrials,33.9,18.73,3.62,1.39,45.73,34.22,13377670,1836000000,2.7288198,3.02
NKE,Nike,NYSE,Consumer_Discretionary,62.49,24.9,1.22,2.51,68.83,50.35,106776114,5162000000,3.0549932,8.91
NI,NiSource Inc.,NYSE,Utilities,22.51,19.57,3.38,1.02,27.76,21.93,7776566,1448600000,2.2361343,1.82
NBL,Noble Energy Inc,NYSE,Energy,25.43,105.96,1.48,-2.32,39.6,22.985,13177325,-518000000,4.6976447,1.44
JWN,Nordstrom,NYSE,Consumer_Discretionary,47.23,15.04,3,2.02,53,37.7924,8212510,1448000000,0.74603415,9.1
NSC,Norfolk Southern Corp.,NYSE,Industrials,136.89,20.65,2.02,18.73,157.1499,109.27,40543547,4737000000,3.8525908,3.09
NOC,Northrop Grumman Corp.,NYSE,Industrials,324.01,24.4,1.3,11.47,349.18,231.98,58782414,3884000000,2.209576,7.96
NRG,NRG Energy,NYSE,Utilities,24,17.78,1.42,-2.23,29.78,14.52,8030036,1774000000,0.9933021,6.73
NUE,Nucor Corp.,NYSE,Materials,60.38,17.01,2.42,4.1,70.48,51.67,20003317,2648729000,0.99837583,2.34
OXY,Occidental Petroleum,NYSE,Energy,68.47,195.63,4.41,-0.75,78.09,57.2,53467692,5205000000,6.044895,
OMC,Omnicom Group,NYSE,Consumer_Discretionary,75.91,15.27,3.18,4.79,86.71,65.32,17377552,2366000000,1.5327156,6.66
OKE,ONEOK,NYSE,Energy,54.4,34,5.44,1.66,61.36,47.14,21988472,1851783000,2.6159565,4.03
ORCL,Oracle Corp.,NYSE,Information_Technology,46.84,18.81,1.56,2.2,53.14,40.01,202302350,16545000000,5.2561646,3.56
PKG,Packaging Corporation of America,NYSE,Materials,111.95,18.57,2.15,7.07,131.1316,88.47,11051274,1214900000,1.741522,5.54
PH,Parker-Hannifin,NYSE,Industrials,174.51,21.6,1.44,7.24,212.8,145.38,24421669,2092089000,1.8652664,4.39
PNR,Pentair Ltd.,NYSE,Industrials,66.67,18.89,2.04,3.63,74.84,57.63,12466661,863700000,2.5191512,2.48
PKI,PerkinElmer,NYSE,Health_Care,72.06,24.68,0.37,2.64,84.49,52.63,8351767,445658000,3.7116463,3.25
PRGO,Perrigo,NYSE,Health_Care,84.44,,0.73,-28.01,95.93,63.68,12326380,0,3.3850067,2.03
PFE,Pfizer Inc.,NYSE,Health_Care,33.63,12.69,3.89,3.51,39.43,31.67,208505542,20569000000,4.0020885,3.4
PCG,PG&E Corp.,NYSE,Utilities,38.24,8.75,0,2.78,71.57,38.45,20309412,6471000000,1.5730644,1.09
PM,Philip Morris International,NYSE,Consumer_Staples,100.39,22.36,4.33,4.48,123.55,96.66,153580672,11802000000,2.7574685,1318.7
PSX,Phillips 66,NYSE,Energy,92.44,21.11,2.93,9.93,107.47,75.135,47996220,5311000000,0.47499472,2.12
PNW,Pinnacle West Capital,NYSE,Utilities,74.34,16.06,3.7,3.95,92.48,73.81,8397610,1614399000,2.9931207,1.65
PXD,Pioneer Natural Resources,NYSE,Energy,169.16,118.29,0.18,-3.39,199.83,125.46,29983120,1717000000,6.7890477,2.76
PNC,PNC Financial Services,NYSE,Financials,149.38,17.55,1.94,10.4,160.07,115.25,73315000,0,4.04653,1.53
RL,Polo Ralph Lauren Corp.,NYSE,Consumer_Discretionary,101.32,17.74,1.86,-1.19,119.33,66.06,8753430,506100000,1.3948758,2.44
PPG,PPG Industries,NYSE,Materials,110.3,18.73,1.58,6.31,122.0697,99.57,29043338,2585000000,1.9551051,4.83
PPL,PPL Corp.,NYSE,Utilities,29.52,12.83,5.22,2.79,40.2,29.205,20839815,3937000000,3.7497053,1.95
